# Gnuplot File : forces of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.005	0 0 0 0 0 0	
0.01	0 0 0 0 0 0	
0.015	0 0 0 0 0 0	
0.02	-2141.98 0 4.75616e-13 0 -0.317504 0	
0.025	1368.28 0 -3.0382e-13 0 0.20282 0	
0.03	1843 0 -4.09229e-13 0 0.273187 0	
0.035	1079.85 0 -2.39775e-13 0 0.160065 0	
0.04	-503.184 0 1.11729e-13 0 -0.0745865 0	
0.045	-549.497 0 1.22013e-13 0 -0.0814514 0	
0.05	45.5326 0 -1.01103e-14 0 0.00674925 0	
0.055	26.9327 0 -5.98025e-15 0 0.0039922 0	
